"Subscribe to back in stock notification","Abonați-vă la alerta de revenire în stoc"
"Subscribe","Subscribe"
"My Subscriptions","My Subscriptions"
"Image","Image"
"Product","Product"
"Subscribed On","Subscribed On"
"Remove This Item","Remove This Item"
"Are you sure you would like to remove this item from the subscriptions","Are you sure you would like to remove this item from the subscriptions"
"There are no active subscriptions.","There are no active subscriptions."
"Sign up to get notified when this configuration is back in stock","Sign up to get notified when this configuration is back in stock"
"My Out of Stock Subscriptions","My Out of Stock Subscriptions"
"An error occurred while deleting the item from Subscriptions: %s","An error occurred while deleting the item from Subscriptions: %s"
"An error occurred while deleting the item from Subscriptions.","An error occurred while deleting the item from Subscriptions."
"Not enough parameters.","Not enough parameters."
"Alert subscription has been saved.","Alert subscription has been saved."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"Out of Stock","Out of Stock"
