"Learn More","Descopera mai mult"
"View Demo","Vezi demo"
"Credit card type is not allowed for this payment method.","Tipul cardului de credit nu este permis pentru metoda aceasta de plata."
"Authorize Only","Doar autorizare"
"Authorize and Capture","Autorizare si capturare"
"The IP(s) you entered are invalid.","IPurile trimise nu sunt valide."
"CC type not supported by PayU.","Tip card de credit neacceptat de catre PayU."
"PayU - Credit cards (Lite version)","PayU - Carti de credit (versiunea Lite)"
"PayU - PayPal (Lite version)","PayU - PayPal (versiunea Lite)"
"Add PayU as an additional payment method to your checkout page.","Adauga PayU ca o metoda aditionala de plata pe pagina de plasare a comenzii."
"Merchant code","Codul comerciantului"
"Transaction key","Cheia de tranzactionare"
"LiveUpdate URL","URL LiveUpdate"
"IDN URL","URL IDN"
"IRN URL","URL IRN"
"IOS URL","URL IOS"
"Test mode","Mod test"
"Automode","Automode"
"Whether you want to redirect your customers straight to the card details page (skipping the billing/delivery screens)","Daca doriti sa redirectionati cumparatorii direct catre pagina de detalii ale cardului (sarind peste pasii de completare a detaliilor de facturare si livrare)"
"Language","Limba"
"Will preselect the language on PayU page, if not set the default is current store 's language","Limba ce va fi preselectata pe situl PayU, daca nu este setata, se va lua limba magazinului curent"
"Restrict IPN access","Restrictionare acces IPN"
"Whether you want to restrict access to IPN url","Daca doriti sa restrictionati accesul la url-ul IPN"
"Allowed IPs for IPN access","IPuri permise pentru acces IPN"
"IPs list for which IPN url is allowed (PayU Servers), separated by comma. Please consult PayU for these IPs.","Lista IPurilor permise sa acceseze url-ul IPN (serverele PayU). Va rugam sa consultati PayU pentru a afla aceste IP-uri."
"Payment timeout","Timpul maxim de plasare al platii"
"Sets the interval in witch the payment can be done. [optional, takes a number of seconds as value]","Seteaza intervalul in care se poate plasa plata. [optional, primeste ca valoare un nr. de secunde]"
"Enabled","Activat"
"Title","Titlu"
"Credit Card Types","Tipuri de carduri"
"New order status","Statusul unei comenzi noi"
"Payment Action","Actiunea de plata"
"Payment from applicable countries","Plata aplicabila din tarile"
"Payment from Specific countries","Plata din tarile specifice"
"Debug","Depanare"
"Sort order","Ordine de sortare"
"No order for processing found.","Nu a fost gasita comanda pentru procesare."
"The customer was redirected to PayU.","Cumparatorul a fost redirectionat catre PayU."
"Invalid order.","Comanda invalida."
"Payment timeout.","Timpul de plasare al platii a expirat."
"Payment failed. The order has been canceled.","Plata a esuat. Comanda a fost anulata."
"An error occurred. Please try again later.","A aparut o eroare. Va rugam sa incercati mai tarziu."
"Payment failed.","Plata a esuat."
"An error occurred.","A aparut o eroare."
"Notified customer about creditmemo #%s.","Cumparatorul a fost notificat despre creditmemo #%s."
"Notified customer about invoice #%s.","Cumparatorul a fost notificat despre factura #%s."
"Invalid signature.","Semnatura invalida."
"Access denied for IP %s.","Acces restrictionat pentru IP %s."
"Invalid payment method.","Metoda de plata invalida."
"Order "%s" not found.","Comanda "%s" nu a fost gasita."
"Missing or invalid order ID.","Nr. comenzii lipseste sau e invalid."
"Request does not contain any params.","Request-ul nu contine niciun parametru."
"Invalid amount to capture.","Suma de capturare nu este valida."
"Could not capture payment. Hash check failed.","Plata nu a putut fi capturata. Verificarea hash a picat."
"Could not capture payment. %s","Plata nu a putut fi capturata. %s"
"Could not capture payment.","Plata nu a putut fi capturata."
"PayU Gateway","Gateway PayU"
"Please, wait a moment. This page will transfer your data to PayU in a few seconds...","Va rugam sa asteptati. Aceasta pagina va transfera datele dumneavoastra catre PayU in cateva secunde..."
"Credit Card Type","Tip card de credit"
"--Please Select--","--Va rugam sa selectati--"
"PayU (Lite version) General Settings","Setari Generale PayU (versiunea Lite)"
"General Settings","Setari generale"
"PayU (Lite version)","PayU (versiunea Lite)"
"void","anula"
"refund","restitui"
"cancel","anula"
"Invalid amount to %s.","Suma pentru %sre nu este valida."
"Could not %s the payment. Hash check failed.","Nu s-a putut %s plata. Verificarea hash a esuat."
"Could not %s the payment. %s","Nu s-a putut %s plata. %s"
"Could not %s the payment.","Nu s-a putut %s plata."
